"Keep your eyes open for our special Back to School items and save A LOT!","Tieni gli occhi aperti per i nostri speciali articoli Torna a Scuola e risparmia MOLTISSIMO!"
"You have no items in your shopping cart.","Non hai articoli nel carrello."
"Shopping Cart is Empty", "Il carrello è vuoto"
"Click <a href=""%s"">here</a> to continue shopping.","Clicca <a href=""%s"">qui</a> per continuare."
"You are now logged out","Sei uscito correttamente"
"You have logged out and will be redirected to our homepage in 5 seconds.","Sei uscito correttamente e sarai indirizzato alla pagina principale entro 5 secondi."
"Login or Create an Account","Accedi o Crea un Account"
"New Customers","Nuovo account"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Creando un account con il nostro negozio sarai in grado di muoverti attraverso il processo di pagamento più velocemente, salvare indirizzi di spedizione multipli, visualizzare e tracciare i tuoi ordini e altro ancora!"
"Registered Customers","Clienti registrati"
"If you have an account with us, please log in.","Se hai un account con noi, per favore accedi"
"Forgot Your Password?","Password dimenticata?"
"Sign Up for Newsletter","Iscriviti alla newsletter"
"popular categories","Categorie in vetrina"
"Return to Previous Page","Torna alla pagina precedente"
"Manufacturer","Marca"
"Currently Shopping by","Attualmente acquisti da"
"Product code:","Codice prodotto:"
"Color","Altri Colori"
"Brand","Marca"
"Quantity:","Quantità"
"View Cart","Carrello"
"Checkout","Paga ora"
"Total:","Totale:"
"Continue shopping","Continua"
"View cart & checkout","Vai al carrello e paga"
"Return to Cart","Torna al carrello"
"Already registered? Login here","Già registrato? Accedi al tuo account StoreBaby."
"Please login here or","Accedi al tuo account o"
"go back","torna indietro."
"Register with us for future convenience","Registrati per una convenienza futura."
"Name\","Nome"
"Short Description","Descrizione breve"
"PayPal | Secure payment &raquo; ","PayPal | Pagamento sicuro &raquo; "
"You will be charged an extra fee of %s.","Per questo metodo di pagamento è prevista una maggiorazione di + %s "


