"Already registered? Login here","Allerede registreret? Log ind her"
"Default Checkout Method","Standard bestillingsmetode"
"go back","gå tilbage"
"Login Link","Login-link"
"Please login here or","Log ind her eller"
"Plug and Play","Plug and play"
"Plug and play mode will auto-replace the billing template. If disabled, you have to update billing.phtml manually.","Plug and play-funktionen opdaterer automatisk skabelonen til betalingsadresse. Hvis plug and play deaktiveres skal du opdatere billing.phtml manuelt."
"Register with us for future convenience","Opret en konto og gør fremtidige køb lettere"
"Show a login link at the top of the billing form","Vis et login-link i toppen af betalingsadresse"
"Skip Step 1","Fjern trin 1"
