"Already registered? Login here","Already registered? Login here"
"Default Checkout Method","Default Checkout Method"
"go back","go back"
"Login Link","Login Link"
"Please login here or","Please login here or"
"Plug and Play","Plug and Play"
"Plug and play mode will auto-replace the billing template. If disabled, you have to update billing.phtml manually.","Plug and play mode will auto-replace the billing template. If disabled, you have to update billing.phtml manually."
"Register with us for future convenience","Register with us for future convenience"
"Show a login link at the top of the billing form","Show a login link at the top of the billing form"
"Skip Step 1","Skip Step 1"
