"PostePay recharge","PostePay recharge"
"Use PostePay recharge","Use PostePay recharge"
"Your PostePay Card Number","Your PostePay Card Number"
"Your PostePay Card Holder","Your PostePay Card Holder"
"This will be displayed in payment page","This will be displayed in payment page"
"Free text","Free text"
"Card number to recharge","Card number to recharge"
"Credit card holder","Credit card holder"
"Display credit card info on checkout","Display credit card info on checkout"
"You will receive further shopper information via email","You will receive further shopper information via email"
