"Dutch","Holandeses";
"English","Inglés";
"German","Alemán";
"French","Frances";
"Spanish", "Español"; 
"Interface language","Idioma de la pasarela de pago";
"New order status","Estado de pedido";
"Payment complete status","Estado de pago completo";
"Create invoice after payment","Solicitar factura";
"Mail invoice to customer", "Envio de email a cliente";
"Gateway selection","Selección de Pasarela de pago";
"Auto redirect","Reenvio Automatico";
"Bank selection","Selección de Banco";
"Direct Debit","Domiciliacion Bacaria";
"Bank Transfer","Transferencia Bancaria";
"Banktransfer","Transferencia Bancaria";
"Sign up for a free test account", "Registro gratuito de cuenta de Prueba";
"<a href=\'http://www.multisafepay.com/nl/klantenservice-zakelijk/open-een-testaccount.html\' target=\'_blank\'>Sign up for a free test account</a>","<a href=\'https://www.multisafepay.com/es/Abrir-una-cuenta-de-prueba.html\' target=\'_blank\'>Crea gratis una cuenta de prueba</a>";
"Automatically redirects the customer back to the webshop after payment. (Skips the 'Transaction Complete' screen)","Stuurt de consument na betaling automatisch terug naar de webshop. (Slaat het 'Transaction Complete' scherm over)";
" Or use  -"o Utilice";
"New order mail","Nuevo Email";
"After notification","Despues de la Notificacion";
"After payment complete","Despues del Pago completado ";
"Force accept agreements","Terminos Legales";
"If enabled the customer must accept the terms and conditions in the fast checkout process","Para clientes aceptados", deben aceptar las condiciones de Fast Check out";
"Alternate Agreements URL", "Páginas alternativas URL";
"Leave this empty for the standard URL for the agreements","Deje este espacio vacio para la URL de la página contratada";
"Add company name field","Incluya el docuemnto de nombre de empresa";
"Company name cannot be empty","Nombre de empresa no puede quedar vacio";
"This will enable the Table Rates method configured at Shipping Methods -> Esto permitira que la tabla de precios de los metodos de pago este configurada con  la tabla de precios de envios.";
"Allowed Currency", "Monedas permitidas";
"Allow currency conversion to Euro", "Permitir la conversion a euros";
"If store currency is not allowed by settings. Used for each gateway.", "Si no se permite almacenar diferentes monedas en herramientas. Divididlo por pasarela de pago.";
"New order mail", "Nuevo E-mail de pedido";
"E-mail invoice to customer", "Enviar factura al cliente";
"Send the order update e-mail to customer", "Enviar emaild e pedido actualizado al cliente";
"Keep the cart", "Guardar el carrito";
"Cart remains active when the customer returns to the webshop or cancels an order.", "La compra queda activa cuando el clientevuelva a la tienda o cancela un pedido";
"Are you using the One Step Checkout Module?", "Esta usando el modulo de  COMPRA EN 1 PASO?";
"<![CDATA[<a href='https://www.multisafepay.com/en/Open-a-test-account.html' target='_blank'>Sign up for a free test account</a>]]>", "<![CDATA[<a href='https://www.multisafepay.com/es/Abrir-una-cuenta-de-prueba.html' target='_blank'>Abre gratis una cuenta de prueba</a>]]>";
"Automatically redirects a customer back to the webshop after a succesful payment. (Skips MultiSafepay's 'Transaction Complete' screen)", "Redirect de consument terug naar de website na een geslaagde transactie?";
"Receive payments from applicable countries", "Voor welke landen staan we betalingen toe?";
"Sort order", "Tipo de Pedido";
"New order e-mail", "Nuevo email de pedido";
"Receive payments from specific countries", "Recibir pagos de diferentes Paises";
"After order confirmation", "Despues de la confirmacion de pedido";
"After notification", including cancelled order", "Después de una actualización de estado", incluyendo una transacción cancelada";
