"Choose the website to export these orders,","Scegli il sito dal quale vuoi esportare gli ordini"
"Run Export CSV","Lanciare l'esportazione"
"Yes","Si"
"No","No"
"Until","Ordini da"
"1 week","1 settimana"
"2 weeks","2 settimane"
"1 month","1 mese"
"2 months","2 mesi"
"3 months","3 mesi"
"4 months","4 mesi"
"5 months","5 mesi"
"6 months","6 mesi"
"7 months","7 mesi"
"8 months","8 mesi"
"9 months","9 mesi"
"10 months","10 mesi"
"11 months","11 mesi"
"12 months","12 mesi"
"Request product\'s review?"," Raccogliere le recensioni sui prodotti?"
"Verified Reviews Tabs","Recensioni Verificate Tabs"
"Export","Esportazione"
"Verified Reviews Form","Form Recensioni Verificate"
"version","versione"
"Form","Form"
"VerifiedReviews","Recensioni Verificate"
"Management","Management"
"Configuration","Configurazione"
"Check Installation","Verificare Installazione"
"You must set the configuration VerifiedReviews according to a website module. Select from the list on the left, the website that you want to set","Bisogna parametrare la configurazione del modulo RecensioniVerificate in funzione del sito. Seleziona dal menu a tendina a sinistra, il sito che desideri parametrare"
"System integration","Sistema di integrazione"
"Enable Module on this Website","Attiva il modulo per questo sito"
"By activating the module, you will reap your reviews sites. To harvest the products reviews, go to the last part of the configuration","Attivando il modulo raccoglierai le tue Recensioni Sito. Per raccogliere le Recensioni Prodotti, vai sull'ultima parte della configurazione"
"IdWebsite","IdWebsite"
"Secret Key","Codice segreto"
"Table Name","Table Name"
"Status","Status"
"Table Orders Fields","Table Orders Fields"
"Table Fields Count","Table Fields Count"
"Check orders Table","Check orders Table"
"Number of reviews","Numero di recensioni"
"Average rating","Voto medio"
"View the trust certificate","Visualizza il certificato di fiducia"
"More Reviews...","Più commenti..."
"Product Reviews","Valutazione prodotti"
"No reviews for this product.","Su questo prodotto non è ancora stata lasciata alcuna recensione."
"the","il"
"d/m/Y","d/m/Y"
"Comments of",,"Commento di "
"Webmaster","Webmaster"
"Moderator","Moderatore"
"on","il"
"Show conversation","Visualizza conversazione"
"Hide conversation","Nascondi conversazione"
"%d Review(s)","%d Recensioni"
"%d Review","%d Recensione"
"%d Reviews","%d Recensioni"
"See the review(s)","Vedi le recensioni"
